
Branco,30,true,1600.0
Donal Trump,81,true,1200.0
Hans Jensen,1,true,92.5,Crawl,12-05-2023,1600.0
Hillary Clinton,78,true,31.7,Butterfly,03-05-2024,1200.0
Jørgen Let,15,true,1.1,Crawl,30-04-2020,1600.0
Lars lykke,11,true,85.1,Crawl,30-04-2023,1200.0
Lucas Modin,25,true,25.1,Crawl,30-04-2024,1600.0
Luna,32,true,66.0,Brystsvømning,10-01-1198,1600.0
Marry Pipen ,13,true,27.1,Brystsvømning,05-10-2025,0.0
Mette Frederiksen,47,true,0.0,Crawl,30-04-2022,1600.0
Morten Messersmith,55,true,110.5,Crawl,01-05-2024,1600.0
Oskar Bjerborg,31,true,1600.0
Rasmus cyber,26,true,1600.0
